,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
257,257,Barreirinhas,BR,-2.7469,-42.8264,78.22,81,1,10.38,clear sky,Gran Lençóis Flat Residence
261,261,Kidal,ML,18.4411,1.4078,77.95,18,22,11.7,few clouds,
262,262,Panaba,MX,21.2833,-88.2667,75.04,94,4,5.82,clear sky,Hotel Don Fernando
265,265,Sainte-Marie,RE,-20.8968,55.5496,78.93,61,75,19.57,broken clouds,Les pailles en queue de Sainte Marie
266,266,Kabalo,CD,-6.05,26.9167,70.54,91,100,2.89,overcast clouds,
267,267,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,9.22,few clouds,Radisson Grenada Beach Resort
268,268,Bouna,CI,9.2667,-3.0,71.28,86,23,2.66,few clouds,Hôtel lababa
271,271,Takoradi,GH,4.8845,-1.7554,75.38,89,69,2.84,light rain,Raybow International Hotel
272,272,Rincon,US,32.296,-81.2354,72.86,93,0,4.61,clear sky,Days Inn Rincon
274,274,Sao Paulo Do Potengi,BR,-5.895,-35.7628,75.31,89,81,8.84,broken clouds,Pousada Santa Clara
276,276,Mangrol,IN,21.1167,70.1167,85.89,43,17,12.19,few clouds,Hotel The Royal Honours
277,277,Grand Gaube,MU,-20.0064,57.6608,73.8,79,87,5.99,light rain,Veranda Paul et Virginie Hotel & Spa
278,278,Mint Hill,US,35.1796,-80.6473,65.8,70,75,8.05,broken clouds,Meadowbrook
280,280,Boa Vista,BR,2.8197,-60.6733,78.78,78,40,1.14,scattered clouds,Aipana Plaza Hotel
281,281,Arlit,NE,18.7369,7.3853,80.51,21,0,15.57,clear sky,Case de Passage De la Prefecture
282,282,Doha,QA,25.2867,51.5333,87.78,62,0,5.75,clear sky,Mövenpick Doha
284,284,Adrar,MR,20.5022,-10.0711,84.85,22,8,2.46,clear sky,
285,285,Le Port,RE,-20.9373,55.2919,78.76,55,30,1.59,scattered clouds,KORBEY D'OR OUEST
288,288,Alindao,CF,5.0267,21.2088,69.19,98,99,1.74,moderate rain,OCHA Alindao
