City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Chicama,PE,-7.8447,-79.1469,57.74,85,72,4.61,broken clouds
332,Barranca,PE,-10.75,-77.7667,59.97,87,88,5.5,overcast clouds
333,San Antonio,US,29.4241,-98.4936,78.53,73,75,13.8,broken clouds
334,Mongu,ZM,-15.2484,23.1274,68.32,26,17,8.68,few clouds
335,Kargasok,RU,59.0556,80.8572,40.8,77,100,2.08,overcast clouds
336,Gat,IL,31.61,34.7642,76.41,100,0,7.16,clear sky
337,Oranjemund,NA,-28.55,16.4333,58.26,93,1,2.64,clear sky
338,Neyshabur,IR,36.2133,58.7958,71.76,18,11,2.51,few clouds
339,Syasstroy,RU,60.1367,32.5691,50.56,78,76,17.74,light rain
340,Bari,IT,41.1177,16.8512,60.85,94,27,5.75,scattered clouds
341,Uruguaiana,BR,-29.7547,-57.0883,58.93,77,0,12.66,clear sky
342,Placido De Castro,BR,-10.3353,-67.1856,73.44,93,97,0.43,overcast clouds
343,Aktau,KZ,43.65,51.2,50.58,44,97,12.66,overcast clouds
344,Trairi,BR,-3.2778,-39.2689,78.12,80,29,15.39,scattered clouds
345,Santa Cruz,BO,-17.8,-63.1667,74.66,78,75,3.44,broken clouds
